"","Host.Species","Agriostomum_equidentatum","Agriostomum_gorgonis","Bronchonema_magna","Bunostomum_phlebotomum","Bunostomum_trigonocephalum","Chabertia_ovina","Cooperia_acutispiculum","Cooperia_connochaeti","Cooperia_curticei","Cooperia_fuelleborni","Cooperia_hungi","Cooperia_neitzi","Cooperia_pectinata","Cooperia_punctata","Cooperia_spatulata","Cooperioides_antidorca","Cooperioides_hamiltoni","Cooperioides_hepaticae","Elaeophora_sagitta","Coronocyclus_coronatus","Coronocyclus_labiatus","Coronocyclus_labratus","Craterostomum_acuticaudatum","Parapoteriostomum_schuermanni","Crossocephalus_viviparus","Cyathostomum_alveatum","Cyathostomum_catinatum","Cyathostomum_montgomeryi","Cyathostomum_pateratum","Cyathostomum_tetracanthum","Cylicocyclus_adersi","Cylicocyclus_auriculatus","Cylicocyclus_elongatus","Cylicocyclus_gyalocephaloides","Cylicocyclus_insigne","Cylicocyclus_leptostomum","Cylicocyclus_nassatus","Cylicocyclus_radiatus","Cylicocyclus_triramosus","Cylicodontophorus_reineckei","Skrjabinodentus_longiconus","Cylicostephanus_asymetricus","Cylicostephanus_bidentatus","Cylicostephanus_calicatus","Cylicostephanus_goldi","Cylicostephanus_longibursatus","Cylicostephanus_minutus","Habronema_microstoma","Teladorsagia_circumcincta","Teladorsagia_hamata","Ostertagia_trifurcata","Thelazia_rhodesi","Trichostrongylus_colubriformis","Cylicodontophorus_bicoronatus","Cylicocyclus_brevicapsulatus","Parapoteriostomum_euproctus","Parapoteriostomum_mettami","Dictyocaulus_arnfieldi","Dictyocaulus_filaria","Draschia_megastoma","Gongylonema_pulchrum","Gyalocephalus_capitatus","Habronema_muscae","Habronema_zebrae","Haemonchus_bedfordi","Haemonchus_contortus","Haemonchus_krugeri","Haemonchus_placei","Haemonchus_vegliai","Impalaia_nudicollis","Impalaia_tuberculata","Longistrongylus_albifrontis","Longistrongylus_curvispiculum","Longistrongylus_meyeri","Longistrongylus_namaquensis","Longistrongylus_sabie","Monodentella_giraffae","Nematodirus_filicollis","Nematodirus_helvetianus","Nematodirus_spathiger","Oesophagodontus_robustus","Oesophagostomum_africanum","Oesophagostomum_columbianum","Oesophagostomum_radiatum","Oesophagostomum_venulosum","Petrovinema_poculatum","Ostertagia_harrisi","Ostertagia_ostertagi","Oxyuris_equi","Parabronema_skrjabini","Paracooperia_devossi","Paracooperia_serrata","Parafilaria_bovicola","Parascaris_equorum","Pneumostrongylus_calcaratus","Poteriostomum_imparidentatum","Poteriostomum_ratzii","Probstmayria_vivipara","Setaria_africana","Setaria_equina","Setaria_hornbyi","Strongyloides_papillosus","Strongylus_edentatus","Strongylus_equinus","Strongylus_vulgaris","Trichostrongylus_axei","Trichostrongylus_deflexus","Trichostrongylus_falculatus","Cylicocyclus_ultrajectinus","Trichostrongylus_minor","Trichostrongylus_pietersei","Trichostrongylus_rugatus","Trichostrongylus_thomasi","Trichostrongylus_vitrinus","Trichuris_globulosa","Trichuris_ovis","Trichuris_parvispiculum","Trichuris_skrjabini","Triodontophorus_brevicauda","Triodontophorus_burchelli","Triodontophorus_hartmannae","Triodontophorus_minor","Triodontophorus_serratus","Triodontophorus_tenuicollis"
"1","Blue_wildebeest",0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Blue_wildebeest",0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Blue_wildebeest",0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Blue_wildebeest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Blue_wildebeest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Bushbuck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Bushbuck",0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Bushbuck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bushbuck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Bushbuck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Bushbuck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Bushbuck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Bushbuck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Bushbuck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
