"","newID","Source","Location","GPS","Host.Species","Aliquot","Infection.Type","Slaughter.Year","Slaughter.Month","Slaughter.Day","Sex","Age.months","Age.class","Breed","Domestic","Previous.Treatment","Shared.Grazing","Ruminant","Feeder","GPSlevel","year","month","DailyMaxTemp","DailyMinTemp","Precipitation","DailyWindSpeed","DailyMeanTemp"
"268","BWB1","VanWyk2011","Limpopo, South Africa","23°10.086'S 28°05.189' E","Blue_wildebeest","aliquots depending on volume","Natural",2006,"July",NA,NA,NA,NA,NA,FALSE,"None",TRUE,TRUE,"Grazer",6,2006,7,27.37,8.58200000000005,0.008,1.877,17.976
"11199","VWB1","VanWyk2011","Limpopo, South Africa","23°19.985'S 29°48.075' E","Blue_wildebeest","aliquots depending on volume","Natural",2007,"August",NA,NA,NA,NA,NA,FALSE,"None",TRUE,TRUE,"Grazer",8,2007,8,24.167,8.24100000000004,0,2.192,16.204
"11204","VWB2","VanWyk2011","Limpopo, South Africa","23°19.985'S 29°48.075' E","Blue_wildebeest","aliquots depending on volume","Natural",2007,"August",NA,NA,NA,NA,NA,FALSE,"None",TRUE,TRUE,"Grazer",8,2007,8,24.167,8.24100000000004,0,2.192,16.204
"11209","VWB3","VanWyk2011","Limpopo, South Africa","23°19.985'S 29°48.075' E","Blue_wildebeest","aliquots depending on volume","Natural",2007,"August",NA,NA,NA,NA,NA,FALSE,"None",TRUE,TRUE,"Grazer",8,2007,8,24.167,8.24100000000004,0,2.192,16.204
"11214","Wi1","Boomker1986","Kalahari Gemsbok National Park, South Africa","24°30-25°47'S 20°-20°52' E","Blue_wildebeest","2/50th volume","Natural",1984,"October",NA,"M",NA,"Adult",NA,FALSE,"None",TRUE,TRUE,"Grazer",12,1984,10,32.063,14.545,0.389,2.439,23.304
"35","Bu1","Boomker1986","Kruger, South Africa","22°26'S 31°10' E","Bushbuck","2/50th volume","Natural",1981,"October",NA,"M",NA,"Prime adult",NA,FALSE,"None",TRUE,TRUE,"Browser",3,1981,10,28.408,16.645,1.545,3.086,22.5265
"46","Bu10","Boomker1986","Kruger, South Africa","24°58'S 31°35' E","Bushbuck","2/50th volume","Natural",1982,"November",NA,"F",NA,"Adult",NA,FALSE,"None",TRUE,TRUE,"Browser",13,1982,11,30.593,17.605,1.186,3.42,24.099
"57","Bu11","Boomker1986","Kruger, South Africa","24°58'S 31°35' E","Bushbuck","2/50th volume","Natural",1982,"November",NA,"M",NA,"Adult",NA,FALSE,"None",TRUE,TRUE,"Browser",13,1982,11,30.593,17.605,1.186,3.42,24.099
"68","Bu12","Boomker1986","Kruger, South Africa","24°58'S 31°35' E","Bushbuck","2/50th volume","Natural",1982,"November",NA,"M",NA,"Adult",NA,FALSE,"None",TRUE,TRUE,"Browser",13,1982,11,30.593,17.605,1.186,3.42,24.099
"79","Bu2","Boomker1986","Kruger, South Africa","22°26'S 31°10' E","Bushbuck","2/50th volume","Natural",1981,"October",NA,"M",NA,"Old",NA,FALSE,"None",TRUE,TRUE,"Browser",3,1981,10,28.408,16.645,1.545,3.086,22.5265
"90","Bu3","Boomker1986","Kruger, South Africa","22°26'S 31°10' E","Bushbuck","2/50th volume","Natural",1981,"October",NA,"F",NA,"Young adult",NA,FALSE,"None",TRUE,TRUE,"Browser",3,1981,10,28.408,16.645,1.545,3.086,22.5265
"101","Bu4","Boomker1986","Kruger, South Africa","24°58'S 31°35' E","Bushbuck","2/50th volume","Natural",1979,"October",NA,"F",NA,"Adult",NA,FALSE,"None",TRUE,TRUE,"Browser",13,1979,10,30.9690000000001,18.0940000000001,1.78,3.732,24.5315000000001
