"","Binomial","Class","Superfamily"
"1","Agriostomum_equidentatum","Nematoda","Ancylostomatoidea"
"2","Agriostomum_gorgonis","Nematoda","Ancylostomatoidea"
"3","Bronchonema_magna","Nematoda","Trichostrongyloidea"
"5","Bunostomum_phlebotomum","Nematoda","Ancylostomatoidea"
"6","Bunostomum_trigonocephalum","Nematoda","Ancylostomatoidea"
"7","Chabertia_ovina","Nematoda","Strongyloidea"
"8","Cooperia_acutispiculum","Nematoda","Trichostrongyloidea"
"9","Cooperia_connochaeti","Nematoda","Trichostrongyloidea"
"10","Cooperia_curticei","Nematoda","Trichostrongyloidea"
"11","Cooperia_fuelleborni","Nematoda","Trichostrongyloidea"
"12","Cooperia_hungi","Nematoda","Trichostrongyloidea"
"13","Cooperia_neitzi","Nematoda","Trichostrongyloidea"
"14","Cooperia_pectinata","Nematoda","Trichostrongyloidea"
"15","Cooperia_punctata","Nematoda","Trichostrongyloidea"
"17","Cooperia_spatulata","Nematoda","Trichostrongyloidea"
"18","Cooperioides_antidorca","Nematoda","Trichostrongyloidea"
"20","Cooperioides_hamiltoni","Nematoda","Trichostrongyloidea"
"21","Cooperioides_hepaticae","Nematoda","Trichostrongyloidea"
"22","Coronocyclus_coronatus","Nematoda","Strongyloidea"
"24","Coronocyclus_labiatus","Nematoda","Strongyloidea"
"26","Coronocyclus_labratus","Nematoda","Strongyloidea"
"28","Craterostomum_acuticaudatum","Nematoda","Strongyloidea"
"30","Crossocephalus_viviparus","Nematoda","Cosmocercoidea"
"31","Cyathostomum_alveatum","Nematoda","Strongyloidea"
"33","Cyathostomum_catinatum","Nematoda","Strongyloidea"
"35","Cyathostomum_montgomeryi","Nematoda","Strongyloidea"
"36","Cyathostomum_pateratum","Nematoda","Strongyloidea"
"38","Cyathostomum_tetracanthum","Nematoda","Strongyloidea"
"40","Cylicocyclus_adersi","Nematoda","Strongyloidea"
"42","Cylicocyclus_auriculatus","Nematoda","Strongyloidea"
"44","Cylicocyclus_brevicapsulatus","Nematoda","Strongyloidea"
"45","Cylicocyclus_elongatus","Nematoda","Strongyloidea"
"47","Cylicocyclus_gyalocephaloides","Nematoda","Strongyloidea"
"48","Cylicocyclus_insigne","Nematoda","Strongyloidea"
"50","Cylicocyclus_leptostomum","Nematoda","Strongyloidea"
"51","Cylicocyclus_nassatus","Nematoda","Strongyloidea"
"53","Cylicocyclus_radiatus","Nematoda","Strongyloidea"
"55","Cylicocyclus_triramosus","Nematoda","Strongyloidea"
"56","Cylicocyclus_ultrajectinus","Nematoda","Strongyloidea"
"57","Cylicodontophorus_bicoronatus","Nematoda","Strongyloidea"
"58","Cylicodontophorus_reineckei","Nematoda","Strongyloidea"
"59","Cylicostephanus_asymetricus","Nematoda","Strongyloidea"
"61","Cylicostephanus_bidentatus","Nematoda","Strongyloidea"
