[1] "not converged = 2152"
[1] "total params = 4143"
[1] "which not converged: "
                  Rhat
use[3,4]      1.105159
use[10,6]     1.105159
use[16,7]     1.105159
use[16,9]     1.105159
use[6,12]     1.105159
use[16,21]    1.105159
use[2,33]     1.105159
use[16,37]    1.105159
use[5,40]     1.105159
use[6,41]     1.105159
use[6,49]     1.105159
use[3,51]     1.105159
use[10,51]    1.105159
use[5,54]     1.105159
use[5,55]     1.105159
use[2,56]     1.105159
use[16,58]    1.105159
use[16,59]    1.105159
use[2,60]     1.105159
use[2,62]     1.105159
use[16,64]    1.105159
use[16,69]    1.105159
use[16,72]    1.105159
use[2,80]     1.105159
use[5,81]     1.105159
use[2,90]     1.105159
use[11,92]    1.105159
use[16,99]    1.105159
use[5,101]    1.105159
use[16,101]   1.105159
use[5,102]    1.105159
use[2,110]    1.105159
use[14,117]   1.105159
use[5,120]    1.105159
use[16,120]   1.105159
use[5,124]    1.105159
use[11,117]   1.105330
use[5,122]    1.105330
use[11,118]   1.105502
use[2,63]     1.105621
use[2,124]    1.105621
use[5,49]     1.105674
use[9,114]    1.105847
use[7,28]     1.109476
use[2,9]      1.116024
use[2,14]     1.116024
use[16,77]    1.116024
use[6,95]     1.116024
use[2,104]    1.116541
use[16,97]    1.117063
use[16,53]    1.129636
use[16,14]    1.133723
use[2,19]     1.133723
use[2,31]     1.133723
use[6,51]     1.133723
use[2,59]     1.133723
use[16,61]    1.133723
use[2,65]     1.133723
use[2,69]     1.133723
use[5,86]     1.133723
use[5,87]     1.133723
use[5,100]    1.133723
use[2,106]    1.133723
use[11,116]   1.133723
use[3,119]    1.133723
use[16,124]   1.133723
use[5,77]     1.151568
use[2,20]     1.165939
use[2,64]     1.165939
use[5,88]     1.165939
use[5,6]      1.169021
alpha[12,85]  1.171153
alpha[14,68]  1.175325
alpha[10,34]  1.176011
alpha[2,51]   1.176311
alpha[15,84]  1.178846
alpha[8,51]   1.180235
alpha[14,65]  1.180631
alpha[6,30]   1.181386
alpha[13,111] 1.181516
alpha[6,22]   1.181559
alpha[11,107] 1.182640
alpha[16,24]  1.182859
alpha[13,115] 1.183246
alpha[11,60]  1.183629
alpha[10,122] 1.183637
alpha[12,5]   1.184236
alpha[13,107] 1.184428
alpha[15,85]  1.184579
alpha[12,117] 1.184825
alpha[10,46]  1.185398
alpha[12,54]  1.185620
alpha[13,118] 1.186340
alpha[8,91]   1.186468
alpha[10,119] 1.186496
alpha[8,116]  1.186743
alpha[13,116] 1.186847
alpha[8,92]   1.187071
alpha[8,96]   1.187155
alpha[12,118] 1.188205
alpha[12,122] 1.188425
alpha[12,67]  1.189108
use[2,1]      1.189187
alpha[7,79]   1.189198
alpha[10,29]  1.189201
alpha[6,28]   1.189394
alpha[8,89]   1.190101
alpha[4,109]  1.190220
alpha[15,115] 1.190306
alpha[6,44]   1.190326
alpha[2,61]   1.190539
alpha[6,32]   1.190702
alpha[8,121]  1.190932
alpha[14,90]  1.191607
alpha[10,102] 1.191869
alpha[12,55]  1.191983
alpha[1,52]   1.192139
alpha[4,27]   1.192183
alpha[14,47]  1.192387
alpha[6,31]   1.192546
alpha[7,92]   1.192600
alpha[8,122]  1.192621
alpha[10,55]  1.192644
alpha[12,52]  1.192786
alpha[12,93]  1.192828
alpha[12,41]  1.192842
alpha[7,52]   1.193245
alpha[8,115]  1.193348
alpha[13,117] 1.193380
alpha[8,99]   1.193622
alpha[6,81]   1.194118
alpha[6,36]   1.194152
alpha[15,73]  1.194352
alpha[6,92]   1.194384
alpha[5,106]  1.194694
alpha[13,13]  1.194797
alpha[6,53]   1.195138
alpha[4,63]   1.195186
alpha[12,104] 1.195404
alpha[4,60]   1.195519
alpha[2,39]   1.195595
alpha[7,84]   1.195754
alpha[15,12]  1.195839
alpha[8,9]    1.195889
alpha[6,27]   1.196597
alpha[4,72]   1.196614
alpha[5,61]   1.196638
alpha[8,5]    1.196720
alpha[8,12]   1.196979
alpha[8,88]   1.197239
alpha[14,74]  1.197329
alpha[11,108] 1.197432
alpha[15,93]  1.197442
alpha[11,106] 1.197504
alpha[1,108]  1.197566
alpha[6,106]  1.197571
alpha[6,55]   1.197640
alpha[8,52]   1.197982
alpha[12,13]  1.197994
alpha[6,93]   1.198025
alpha[9,51]   1.198142
alpha[16,122] 1.198368
alpha[13,37]  1.198589
alpha[6,101]  1.198784
alpha[10,24]  1.198857
alpha[8,73]   1.198905
alpha[10,45]  1.199168
alpha[2,83]   1.199181
alpha[12,51]  1.199197
alpha[12,115] 1.199293
alpha[7,72]   1.199304
alpha[5,107]  1.199403
alpha[6,80]   1.199568
alpha[15,117] 1.199845
alpha[8,62]   1.199877
alpha[12,40]  1.200067
alpha[12,96]  1.200288
alpha[1,92]   1.200427
alpha[8,76]   1.200533
alpha[11,75]  1.200553
alpha[12,73]  1.200599
alpha[1,118]  1.200627
alpha[12,76]  1.200776
alpha[9,52]   1.200829
alpha[15,92]  1.200883
alpha[12,56]  1.200900
alpha[1,116]  1.201013
alpha[6,54]   1.201036
alpha[16,30]  1.201309
alpha[15,118] 1.201391
alpha[12,88]  1.201643
alpha[12,20]  1.201652
alpha[8,71]   1.201760
alpha[14,59]  1.201868
alpha[10,22]  1.201970
alpha[6,121]  1.201985
alpha[8,106]  1.202079
alpha[12,78]  1.202174
alpha[8,123]  1.202278
alpha[8,6]    1.202288
alpha[8,93]   1.202336
alpha[15,86]  1.202352
alpha[9,14]   1.202386
alpha[8,103]  1.202387
alpha[7,62]   1.202409
alpha[5,11]   1.202541
alpha[15,109] 1.202590
alpha[6,25]   1.202597
alpha[13,99]  1.202611
alpha[8,49]   1.202659
alpha[1,8]    1.202977
alpha[8,85]   1.203012
alpha[8,117]  1.203102
alpha[15,95]  1.203107
alpha[12,62]  1.203188
alpha[10,100] 1.203429
alpha[10,105] 1.203677
alpha[15,87]  1.203946
alpha[8,41]   1.204005
alpha[8,54]   1.204018
alpha[2,109]  1.204230
alpha[15,39]  1.204262
alpha[15,76]  1.204302
alpha[13,9]   1.204462
alpha[8,124]  1.204482
alpha[5,63]   1.204521
alpha[16,34]  1.204602
alpha[15,124] 1.204737
alpha[5,13]   1.204770
alpha[6,45]   1.204883
alpha[9,13]   1.204902
alpha[16,98]  1.205218
alpha[1,85]   1.205430
alpha[12,99]  1.205487
alpha[10,124] 1.205542
alpha[3,11]   1.205546
alpha[9,39]   1.205744
alpha[6,120]  1.205747
alpha[10,32]  1.205779
alpha[8,1]    1.205782
alpha[16,28]  1.205891
use[5,56]     1.205915
alpha[4,106]  1.205977
alpha[8,118]  1.206014
alpha[3,108]  1.206111
alpha[12,105] 1.206144
alpha[6,122]  1.206187
alpha[14,62]  1.206256
alpha[8,31]   1.206367
alpha[9,85]   1.206388
alpha[14,67]  1.206707
alpha[6,107]  1.206721
alpha[6,46]   1.206736
alpha[8,13]   1.206787
alpha[14,79]  1.206797
alpha[6,21]   1.206836
alpha[8,21]   1.207025
alpha[11,11]  1.207057
alpha[13,70]  1.207162
alpha[11,17]  1.207190
alpha[7,1]    1.207216
alpha[12,48]  1.207347
alpha[6,19]   1.207355
alpha[13,27]  1.207397
alpha[8,10]   1.207444
alpha[2,12]   1.207500
alpha[8,19]   1.207543
alpha[16,43]  1.207575
alpha[7,73]   1.207664
alpha[10,73]  1.207714
alpha[12,70]  1.207719
