[1] "not converged = 2137"
[1] "total params = 4238"
[1] "which not converged: "
[1] "missing data: 0.0522193211488251"
                  Rhat
use[3,2]      1.105159
use[5,14]     1.105159
use[2,20]     1.105159
use[5,32]     1.105159
use[2,33]     1.105159
use[4,48]     1.105159
use[5,49]     1.105159
use[3,51]     1.105159
use[11,54]    1.105159
use[2,57]     1.105159
use[2,64]     1.105159
use[16,68]    1.105159
use[16,70]    1.105159
use[16,86]    1.105159
use[16,102]   1.105159
use[5,108]    1.105159
use[6,113]    1.105159
use[6,118]    1.105159
use[2,120]    1.105159
use[2,29]     1.105330
use[9,44]     1.105330
use[5,51]     1.105330
use[2,56]     1.105330
use[2,59]     1.105330
use[4,89]     1.105330
use[11,95]    1.105330
use[9,106]    1.105330
use[4,117]    1.105330
use[16,118]   1.105330
use[5,124]    1.105330
use[2,15]     1.105502
use[6,2]      1.105621
use[9,30]     1.105621
use[9,46]     1.105621
use[5,101]    1.105674
use[10,115]   1.105847
use[9,42]     1.109096
use[9,10]     1.111065
alpha[1,73]   1.111228
use[9,111]    1.113686
use[16,49]    1.116024
alpha[13,103] 1.118711
alpha[12,101] 1.120507
alpha[12,117] 1.120835
alpha[8,21]   1.120926
alpha[1,52]   1.120988
alpha[12,96]  1.121689
alpha[12,85]  1.122448
alpha[2,51]   1.123185
alpha[1,91]   1.123486
alpha[15,85]  1.124240
alpha[8,116]  1.125168
alpha[15,31]  1.125633
alpha[8,40]   1.127066
alpha[9,61]   1.127431
alpha[12,59]  1.127758
alpha[16,98]  1.128105
alpha[15,78]  1.128163
alpha[8,34]   1.128550
alpha[12,121] 1.128800
alpha[14,68]  1.128815
alpha[12,92]  1.129504
alpha[12,37]  1.130599
alpha[3,116]  1.130608
alpha[4,116]  1.130614
alpha[11,75]  1.130726
alpha[7,79]   1.131318
alpha[8,87]   1.131550
alpha[7,11]   1.132059
use[9,47]     1.132118
alpha[8,4]    1.132390
alpha[16,41]  1.132407
alpha[5,106]  1.133021
alpha[16,36]  1.133119
alpha[12,13]  1.133300
alpha[7,62]   1.133319
alpha[15,68]  1.133672
use[16,7]     1.133723
use[2,8]      1.133723
use[5,25]     1.133723
use[9,26]     1.133723
use[16,37]    1.133723
use[16,39]    1.133723
use[2,46]     1.133723
use[16,51]    1.133723
use[2,65]     1.133723
use[16,77]    1.133723
use[9,82]     1.133723
use[4,92]     1.133723
use[5,96]     1.133723
use[16,108]   1.133723
use[3,105]    1.134123
alpha[13,13]  1.134353
use[9,17]     1.134525
alpha[8,75]   1.134586
alpha[12,114] 1.134601
alpha[8,73]   1.134773
alpha[12,73]  1.135090
alpha[2,4]    1.135363
alpha[8,48]   1.135493
alpha[8,51]   1.135683
alpha[8,19]   1.135744
