[1] "not converged = 19"
[1] "total params = 3974"
[1] "which not converged: "
               Rhat
use[7,107] 1.102409
use[10,59] 1.105968
use[2,74]  1.109700
use[2,45]  1.112154
use[10,36] 1.119220
use[3,27]  1.119470
use[9,28]  1.122550
use[6,62]  1.125773
use[5,102] 1.154633
use[9,106] 1.169979
use[9,102] 1.171478
use[5,18]  1.190256
use[3,46]  1.266910
use[7,43]  1.286150
use[7,20]  1.322290
use[3,90]  1.619871
use[9,79]  2.171398
use[9,16]  2.661108
use[16,60] 3.163083
Inference for Bugs model at "~/bipartitemodelsBC/finalmodels/jagsNB/beta/M1b.txt", fit using jags,
 3 chains, each with 55000 iterations (first 5000 discarded), n.thin = 50
 n.sims = 3000 iterations saved
              mu.vect sd.vect      2.5%       25%       50%       75%     97.5%
mn[1]          -1.905   0.084    -2.069    -1.962    -1.906    -1.847    -1.743
mn[2]           3.058   0.259     2.542     2.886     3.062     3.228     3.563
mu[1,1]         0.139   0.035     0.082     0.114     0.135     0.161     0.218
mu[2,1]         0.129   0.032     0.076     0.106     0.125     0.149     0.201
mu[3,1]         0.125   0.030     0.075     0.104     0.122     0.143     0.190
mu[4,1]         0.124   0.029     0.074     0.104     0.121     0.141     0.188
mu[5,1]         0.126   0.029     0.075     0.105     0.123     0.144     0.191
mu[6,1]         0.126   0.031     0.075     0.104     0.123     0.145     0.194
mu[7,1]         0.145   0.037     0.086     0.119     0.140     0.167     0.233
mu[8,1]         0.155   0.042     0.088     0.126     0.151     0.179     0.249
mu[9,1]         0.142   0.036     0.083     0.117     0.139     0.163     0.223
mu[10,1]        0.125   0.030     0.074     0.104     0.121     0.142     0.194
mu[11,1]        0.122   0.029     0.075     0.101     0.120     0.140     0.188
mu[12,1]        0.144   0.038     0.084     0.118     0.140     0.167     0.227
mu[13,1]        0.126   0.029     0.076     0.105     0.124     0.144     0.189
mu[14,1]        0.133   0.033     0.079     0.110     0.129     0.153     0.204
mu[15,1]        0.142   0.036     0.084     0.116     0.138     0.162     0.222
mu[16,1]        0.128   0.031     0.077     0.106     0.126     0.147     0.198
mu[1,2]         0.139   0.035     0.082     0.114     0.135     0.161     0.218
mu[2,2]         0.129   0.032     0.076     0.106     0.125     0.149     0.201
mu[3,2]         0.125   0.030     0.075     0.104     0.122     0.143     0.190
mu[4,2]         0.124   0.029     0.074     0.104     0.121     0.141     0.188
mu[5,2]         0.126   0.029     0.075     0.105     0.123     0.144     0.191
mu[6,2]         0.126   0.031     0.075     0.104     0.123     0.145     0.194
mu[7,2]         0.145   0.037     0.086     0.119     0.140     0.167     0.233
mu[8,2]         0.155   0.042     0.088     0.126     0.151     0.179     0.249
mu[9,2]         0.142   0.036     0.083     0.117     0.139     0.163     0.223
mu[10,2]        0.125   0.030     0.074     0.104     0.121     0.142     0.194
mu[11,2]        0.122   0.029     0.075     0.101     0.120     0.140     0.188
mu[12,2]        0.144   0.038     0.084     0.118     0.140     0.167     0.227
mu[13,2]        0.126   0.029     0.076     0.105     0.124     0.144     0.189
mu[14,2]        0.133   0.033     0.079     0.110     0.129     0.153     0.204
mu[15,2]        0.142   0.036     0.084     0.116     0.138     0.162     0.222
mu[16,2]        0.128   0.031     0.077     0.106     0.126     0.147     0.198
mu[1,3]         0.145   0.023     0.105     0.129     0.143     0.159     0.196
mu[2,3]         0.112   0.016     0.083     0.101     0.111     0.122     0.145
mu[3,3]         0.098   0.014     0.073     0.089     0.098     0.107     0.128
mu[4,3]         0.103   0.015     0.077     0.093     0.103     0.113     0.135
mu[5,3]         0.115   0.016     0.086     0.104     0.114     0.125     0.150
mu[6,3]         0.096   0.013     0.072     0.087     0.096     0.105     0.126
mu[7,3]         0.144   0.022     0.107     0.129     0.143     0.158     0.192
mu[8,3]         0.167   0.029     0.118     0.145     0.165     0.184     0.228
mu[9,3]         0.125   0.019     0.091     0.112     0.124     0.138     0.163
mu[10,3]        0.094   0.013     0.069     0.084     0.093     0.102     0.122
mu[11,3]        0.114   0.016     0.085     0.103     0.113     0.125     0.148
mu[12,3]        0.182   0.033     0.129     0.159     0.178     0.201     0.258
mu[13,3]        0.123   0.017     0.091     0.111     0.122     0.134     0.157
mu[14,3]        0.135   0.019     0.100     0.122     0.134     0.147     0.173
mu[15,3]        0.177   0.031     0.125     0.155     0.173     0.196     0.245
mu[16,3]        0.100   0.014     0.074     0.090     0.099     0.110     0.130
mu[1,4]         0.139   0.035     0.082     0.114     0.135     0.161     0.218
mu[2,4]         0.129   0.032     0.076     0.106     0.125     0.149     0.201
mu[3,4]         0.125   0.030     0.075     0.104     0.122     0.143     0.190
mu[4,4]         0.124   0.029     0.074     0.104     0.121     0.141     0.188
mu[5,4]         0.126   0.029     0.075     0.105     0.123     0.144     0.191
mu[6,4]         0.126   0.031     0.075     0.104     0.123     0.145     0.194
mu[7,4]         0.145   0.037     0.086     0.119     0.140     0.167     0.233
mu[8,4]         0.155   0.042     0.088     0.126     0.151     0.179     0.249
mu[9,4]         0.142   0.036     0.083     0.117     0.139     0.163     0.223
mu[10,4]        0.125   0.030     0.074     0.104     0.121     0.142     0.194
mu[11,4]        0.122   0.029     0.075     0.101     0.120     0.140     0.188
mu[12,4]        0.144   0.038     0.084     0.118     0.140     0.167     0.227
mu[13,4]        0.126   0.029     0.076     0.105     0.124     0.144     0.189
mu[14,4]        0.133   0.033     0.079     0.110     0.129     0.153     0.204
mu[15,4]        0.142   0.036     0.084     0.116     0.138     0.162     0.222
mu[16,4]        0.128   0.031     0.077     0.106     0.126     0.147     0.198
mu[1,5]         0.139   0.035     0.082     0.114     0.135     0.161     0.218
mu[2,5]         0.129   0.032     0.076     0.106     0.125     0.149     0.201
mu[3,5]         0.125   0.030     0.075     0.104     0.122     0.143     0.190
mu[4,5]         0.124   0.029     0.074     0.104     0.121     0.141     0.188
mu[5,5]         0.126   0.029     0.075     0.105     0.123     0.144     0.191
mu[6,5]         0.126   0.031     0.075     0.104     0.123     0.145     0.194
mu[7,5]         0.145   0.037     0.086     0.119     0.140     0.167     0.233
mu[8,5]         0.155   0.042     0.088     0.126     0.151     0.179     0.249
mu[9,5]         0.142   0.036     0.083     0.117     0.139     0.163     0.223
mu[10,5]        0.125   0.030     0.074     0.104     0.121     0.142     0.194
mu[11,5]        0.122   0.029     0.075     0.101     0.120     0.140     0.188
mu[12,5]        0.144   0.038     0.084     0.118     0.140     0.167     0.227
mu[13,5]        0.126   0.029     0.076     0.105     0.124     0.144     0.189
mu[14,5]        0.133   0.033     0.079     0.110     0.129     0.153     0.204
mu[15,5]        0.142   0.036     0.084     0.116     0.138     0.162     0.222
