[1] "not converged = 2013"
[1] "total params = 3974"
[1] "which not converged: "
                Rhat
use[2,37]   1.101762
use[6,65]   1.107329
use[9,101]  1.110521
use[15,113] 1.111051
use[12,118] 1.113677
use[7,65]   1.116414
use[12,28]  1.128521
use[3,31]   1.130056
use[3,106]  1.134589
use[15,119] 1.138635
use[15,24]  1.139682
use[12,24]  1.143313
use[9,26]   1.149224
use[10,48]  1.149391
use[2,71]   1.158720
use[5,94]   1.173319
use[16,58]  1.180298
use[9,66]   1.185000
use[10,35]  1.186795
use[1,10]   1.190421
use[7,33]   1.198845
use[16,82]  1.229024
mu[6,102]   1.242790
mu[13,107]  1.247362
mu[2,78]    1.250251
mu[2,61]    1.251866
mu[16,26]   1.255825
mu[16,38]   1.257295
mu[9,51]    1.257298
mu[11,63]   1.257899
mu[7,1]     1.258324
mu[3,10]    1.258976
mu[16,44]   1.259041
mu[11,11]   1.259363
mu[6,55]    1.260265
mu[13,106]  1.261628
mu[9,58]    1.261996
mu[12,72]   1.262042
mu[13,112]  1.262116
mu[13,58]   1.262409
mu[4,106]   1.262727
mu[16,28]   1.263053
mu[14,109]  1.263624
mu[14,106]  1.263636
mu[2,118]   1.263894
mu[13,111]  1.264366
mu[10,21]   1.264579
mu[6,121]   1.264862
mu[7,62]    1.265033
mu[13,27]   1.265670
mu[13,115]  1.266086
mu[4,13]    1.266100
mu[12,44]   1.266314
mu[6,42]    1.266661
mu[6,37]    1.267588
mu[6,26]    1.267714
mu[6,96]    1.267865
mu[1,108]   1.267868
mu[8,105]   1.268207
mu[13,118]  1.268788
mu[15,39]   1.269916
mu[10,19]   1.269995
mu[2,51]    1.270277
mu[16,94]   1.270374
mu[16,30]   1.270399
mu[13,99]   1.270400
mu[6,46]    1.270402
mu[6,94]    1.270843
mu[7,112]   1.270923
mu[5,97]    1.271210
mu[15,101]  1.271385
mu[16,47]   1.271429
mu[2,39]    1.271678
mu[6,19]    1.271943
mu[7,31]    1.272019
mu[11,17]   1.272087
mu[8,69]    1.272332
mu[16,36]   1.272362
mu[14,84]   1.272504
mu[6,28]    1.272904
mu[6,120]   1.273337
mu[6,123]   1.273394
mu[16,96]   1.273461
mu[6,30]    1.273821
mu[6,97]    1.273851
mu[9,49]    1.273921
mu[12,109]  1.274091
mu[16,24]   1.274150
mu[6,45]    1.274164
mu[13,72]   1.274578
mu[13,9]    1.274831
mu[5,7]     1.274926
mu[8,29]    1.274955
mu[14,47]   1.275061
mu[4,85]    1.275158
mu[1,100]   1.275176
mu[16,56]   1.275223
mu[16,50]   1.275250
mu[16,98]   1.275364
mu[13,80]   1.275484
mu[3,93]    1.275574
mu[11,75]   1.275824
mu[14,64]   1.275907
mu[11,10]   1.275943
mu[4,79]    1.276017
mu[7,18]    1.276143
mu[9,91]    1.276386
mu[16,23]   1.276545
mu[11,106]  1.276835
mu[6,36]    1.276939
mu[14,90]   1.277089
mu[12,11]   1.277170
mu[12,31]   1.277198
mu[5,106]   1.277254
mu[14,107]  1.277343
mu[8,35]    1.277410
mu[7,11]    1.277540
mu[9,53]    1.277570
mu[6,24]    1.277595
mu[6,34]    1.277757
mu[15,107]  1.277847
mu[8,15]    1.277857
mu[4,14]    1.277887
mu[8,41]    1.277940
mu[16,29]   1.278017
mu[6,35]    1.278096
mu[14,65]   1.278174
mu[12,75]   1.278246
mu[2,28]    1.278900
mu[15,47]   1.278939
mu[12,63]   1.279265
mu[13,117]  1.279394
mu[9,110]   1.279864
mu[4,27]    1.280107
mu[12,70]   1.280201
mu[12,101]  1.280257
mu[8,113]   1.280350
mu[6,32]    1.280423
mu[8,82]    1.280467
mu[6,21]    1.280474
mu[12,115]  1.280489
mu[15,65]   1.280680
mu[12,15]   1.280762
mu[12,18]   1.280819
mu[1,96]    1.281049
mu[15,95]   1.281061
mu[10,124]  1.281343
mu[13,114]  1.281383
mu[15,59]   1.281402
mu[13,109]  1.281416
mu[10,29]   1.281547
mu[2,86]    1.281738
mu[1,12]    1.281767
mu[16,55]   1.281835
mu[8,52]    1.281865
mu[16,43]   1.281945
mu[12,57]   1.281967
mu[11,107]  1.282093
mu[4,112]   1.282631
mu[14,68]   1.282701
mu[8,16]    1.282804
mu[8,28]    1.282865
mu[9,2]     1.282944
mu[10,86]   1.282977
mu[1,20]    1.283128
mu[8,71]    1.283416
mu[7,116]   1.283509
mu[10,123]  1.283532
mu[12,86]   1.283542
mu[15,60]   1.283669
mu[12,48]   1.283852
mu[7,58]    1.283853
mu[12,51]   1.283920
mu[13,5]    1.283981
mu[8,122]   1.284023
mu[8,100]   1.284066
mu[12,123]  1.284129
mu[15,61]   1.284163
mu[4,107]   1.284252
mu[1,8]     1.284304
mu[15,73]   1.284325
mu[7,67]    1.284327
mu[7,96]    1.284346
mu[16,22]   1.284360
mu[13,49]   1.284539
mu[3,118]   1.284585
mu[8,67]    1.284671
mu[14,1]    1.284711
mu[9,95]    1.284757
mu[4,115]   1.284780
mu[12,19]   1.284799
mu[15,36]   1.284879
mu[8,38]    1.285020
mu[15,55]   1.285029
mu[9,23]    1.285099
mu[7,8]     1.285108
mu[7,84]    1.285115
mu[10,101]  1.285156
mu[1,9]     1.285172
mu[12,54]   1.285192
mu[10,42]   1.285271
mu[4,63]    1.285284
mu[16,34]   1.285420
mu[12,117]  1.285445
mu[15,122]  1.285501
mu[6,122]   1.285606
mu[16,41]   1.285641
mu[14,67]   1.285750
mu[10,44]   1.285798
mu[12,64]   1.285885
mu[6,20]    1.285892
mu[8,54]    1.285916
mu[8,61]    1.286005
mu[9,87]    1.286074
mu[11,108]  1.286087
mu[6,25]    1.286148
mu[2,93]    1.286194
mu[1,93]    1.286289
mu[1,124]   1.286320
mu[8,45]    1.286321
mu[14,110]  1.286399
mu[7,64]    1.286439
mu[9,61]    1.286521
mu[14,97]   1.286526
mu[9,12]    1.286653
mu[1,35]    1.286794
mu[12,84]   1.286837
mu[1,27]    1.286859
mu[12,55]   1.286909
mu[12,124]  1.286923
mu[8,66]    1.286929
mu[1,116]   1.286996
mu[5,107]   1.286997
mu[1,70]    1.286997
mu[8,51]    1.287086
mu[6,14]    1.287189
mu[1,21]    1.287226
mu[15,26]   1.287411
mu[4,60]    1.287536
mu[1,72]    1.287613
mu[15,77]   1.287682
mu[14,39]   1.287915
mu[8,63]    1.287946
mu[13,14]   1.287954
mu[7,29]    1.288085
mu[12,99]   1.288106
mu[2,95]    1.288174
mu[15,96]   1.288228
mu[6,27]    1.288262
mu[12,49]   1.288340
mu[7,122]   1.288344
mu[15,75]   1.288352
mu[8,3]     1.288359
mu[2,60]    1.288505
mu[2,67]    1.288596
mu[3,11]    1.288611
mu[12,77]   1.288700
mu[12,8]    1.288744
mu[12,69]   1.288970
mu[5,118]   1.289118
mu[8,32]    1.289150
mu[1,7]     1.289198
mu[10,22]   1.289277
mu[7,35]    1.289307
mu[1,57]    1.289327
mu[7,82]    1.289356
mu[5,13]    1.289369
mu[8,116]   1.289416
mu[1,88]    1.289468
mu[15,76]   1.289470
mu[5,12]    1.289507
mu[15,109]  1.289514
mu[12,76]   1.289544
mu[6,29]    1.289564
mu[8,58]    1.289662
mu[10,32]   1.289810
mu[6,44]    1.289829
mu[15,106]  1.289928
mu[8,55]    1.289937
mu[3,91]    1.289975
mu[12,65]   1.290053
mu[15,43]   1.290113
mu[9,35]    1.290131
mu[5,59]    1.290263
mu[9,4]     1.290285
mu[15,6]    1.290419
mu[15,40]   1.290464
mu[15,31]   1.290477
mu[8,117]   1.290527
mu[4,68]    1.290567
mu[9,117]   1.290568
mu[1,80]    1.290624
mu[15,116]  1.290627
mu[16,3]    1.290668
mu[6,47]    1.290698
mu[15,23]   1.290777
mu[9,79]    1.290795
mu[9,64]    1.290800
mu[6,103]   1.290868
mu[3,116]   1.290882
