[1] "not converged = 19"
[1] "total params = 3976"
[1] "which not converged: "
                Rhat
use[3,1]    1.104388
use[3,75]   1.117331
use[9,101]  1.123114
use[7,19]   1.129288
use[9,90]   1.134690
use[5,1]    1.142521
use[7,23]   1.143310
use[9,112]  1.155751
use[9,53]   1.167861
use[5,62]   1.178392
use[2,111]  1.195812
use[5,33]   1.199819
use[9,27]   1.213247
sd[1]       1.258411
use[2,77]   1.258428
use[9,111]  1.481853
use[2,114]  1.489249
mn[3]       2.955706
mn[1]      12.152375
Inference for Bugs model at "~/bipartitemodelsBC/finalmodels/jagsNB/beta/m1g.txt", fit using jags,
 3 chains, each with 3000 iterations (first 100 discarded)
 n.sims = 8700 iterations saved
              mu.vect sd.vect      2.5%       25%       50%       75%     97.5%
mn[1]          -3.275   0.230    -3.566    -3.514    -3.311    -2.996    -2.938
mn[2]           3.090   0.257     2.589     2.915     3.090     3.260     3.599
mn[3]           1.387   0.250     0.919     1.181     1.416     1.579     1.815
mu[1,1]         0.155   0.021     0.119     0.140     0.153     0.167     0.202
mu[2,1]         0.120   0.013     0.096     0.111     0.119     0.128     0.148
mu[3,1]         0.098   0.012     0.076     0.090     0.098     0.106     0.124
mu[4,1]         0.096   0.012     0.074     0.088     0.096     0.104     0.123
mu[5,1]         0.109   0.014     0.084     0.099     0.108     0.118     0.138
mu[6,1]         0.136   0.014     0.109     0.126     0.135     0.144     0.166
mu[7,1]         0.144   0.019     0.110     0.131     0.143     0.156     0.186
mu[8,1]         0.204   0.033     0.147     0.182     0.202     0.224     0.276
mu[9,1]         0.120   0.014     0.096     0.111     0.119     0.128     0.148
mu[10,1]        0.136   0.014     0.110     0.127     0.135     0.144     0.164
mu[11,1]        0.102   0.013     0.079     0.094     0.102     0.111     0.130
mu[12,1]        0.206   0.032     0.153     0.184     0.203     0.225     0.274
mu[13,1]        0.104   0.013     0.080     0.095     0.103     0.112     0.131
mu[14,1]        0.110   0.014     0.085     0.101     0.109     0.119     0.140
mu[15,1]        0.190   0.030     0.139     0.170     0.187     0.207     0.258
mu[16,1]        0.136   0.014     0.111     0.127     0.135     0.144     0.164
mu[1,2]         0.155   0.021     0.119     0.140     0.153     0.168     0.202
mu[2,2]         0.120   0.014     0.095     0.111     0.119     0.128     0.148
mu[3,2]         0.099   0.013     0.076     0.090     0.098     0.106     0.125
mu[4,2]         0.096   0.012     0.075     0.088     0.096     0.104     0.123
mu[5,2]         0.109   0.014     0.084     0.100     0.108     0.117     0.136
mu[6,2]         0.136   0.014     0.110     0.127     0.135     0.145     0.165
mu[7,2]         0.144   0.019     0.109     0.131     0.142     0.155     0.185
mu[8,2]         0.204   0.033     0.148     0.182     0.202     0.224     0.276
mu[9,2]         0.121   0.014     0.096     0.112     0.120     0.128     0.150
mu[10,2]        0.136   0.014     0.110     0.127     0.135     0.144     0.166
mu[11,2]        0.103   0.013     0.080     0.094     0.102     0.111     0.130
mu[12,2]        0.206   0.032     0.153     0.184     0.203     0.224     0.275
mu[13,2]        0.104   0.013     0.081     0.095     0.103     0.112     0.132
mu[14,2]        0.109   0.013     0.085     0.100     0.109     0.118     0.138
mu[15,2]        0.190   0.030     0.140     0.170     0.187     0.207     0.256
mu[16,2]        0.136   0.014     0.110     0.127     0.136     0.145     0.165
mu[1,3]         0.155   0.021     0.119     0.140     0.153     0.167     0.201
mu[2,3]         0.120   0.013     0.096     0.111     0.119     0.128     0.148
mu[3,3]         0.098   0.012     0.075     0.090     0.098     0.106     0.125
mu[4,3]         0.096   0.012     0.074     0.088     0.096     0.104     0.122
mu[5,3]         0.109   0.014     0.083     0.099     0.108     0.117     0.137
mu[6,3]         0.136   0.014     0.110     0.126     0.135     0.144     0.164
mu[7,3]         0.143   0.019     0.109     0.130     0.142     0.155     0.185
mu[8,3]         0.204   0.033     0.147     0.182     0.202     0.223     0.278
mu[9,3]         0.120   0.013     0.096     0.111     0.119     0.128     0.148
mu[10,3]        0.136   0.014     0.110     0.126     0.135     0.144     0.165
mu[11,3]        0.102   0.013     0.079     0.094     0.102     0.111     0.130
mu[12,3]        0.206   0.032     0.153     0.184     0.203     0.225     0.276
mu[13,3]        0.104   0.013     0.081     0.095     0.103     0.112     0.132
mu[14,3]        0.110   0.014     0.085     0.100     0.109     0.118     0.139
mu[15,3]        0.190   0.030     0.141     0.170     0.187     0.206     0.256
mu[16,3]        0.137   0.014     0.111     0.128     0.136     0.145     0.167
mu[1,4]         0.155   0.021     0.119     0.140     0.153     0.168     0.200
mu[2,4]         0.120   0.014     0.096     0.111     0.119     0.128     0.149
mu[3,4]         0.099   0.013     0.076     0.090     0.098     0.106     0.125
mu[4,4]         0.097   0.012     0.074     0.088     0.096     0.104     0.124
mu[5,4]         0.109   0.013     0.084     0.099     0.108     0.118     0.136
mu[6,4]         0.136   0.014     0.111     0.127     0.136     0.145     0.166
mu[7,4]         0.144   0.019     0.109     0.131     0.143     0.155     0.184
mu[8,4]         0.205   0.033     0.147     0.182     0.202     0.224     0.277
mu[9,4]         0.120   0.014     0.095     0.111     0.119     0.128     0.149
mu[10,4]        0.136   0.014     0.110     0.127     0.135     0.145     0.166
mu[11,4]        0.103   0.013     0.080     0.094     0.102     0.111     0.130
mu[12,4]        0.206   0.032     0.153     0.184     0.203     0.224     0.276
mu[13,4]        0.104   0.013     0.080     0.095     0.103     0.112     0.132
mu[14,4]        0.110   0.014     0.085     0.100     0.109     0.118     0.139
mu[15,4]        0.190   0.030     0.140     0.170     0.188     0.207     0.258
mu[16,4]        0.136   0.014     0.111     0.127     0.135     0.145     0.166
mu[1,5]         0.155   0.021     0.120     0.141     0.153     0.167     0.201
mu[2,5]         0.120   0.013     0.096     0.111     0.119     0.128     0.148
mu[3,5]         0.098   0.012     0.076     0.090     0.098     0.106     0.125
mu[4,5]         0.096   0.012     0.074     0.088     0.096     0.104     0.123
mu[5,5]         0.109   0.014     0.084     0.099     0.108     0.117     0.138
mu[6,5]         0.136   0.014     0.111     0.127     0.135     0.144     0.165
mu[7,5]         0.144   0.019     0.110     0.131     0.142     0.155     0.184
mu[8,5]         0.205   0.033     0.149     0.182     0.202     0.224     0.280
mu[9,5]         0.120   0.014     0.096     0.111     0.119     0.128     0.148
mu[10,5]        0.136   0.014     0.110     0.127     0.135     0.144     0.165
mu[11,5]        0.103   0.013     0.079     0.094     0.102     0.111     0.130
mu[12,5]        0.206   0.032     0.153     0.184     0.203     0.225     0.276
mu[13,5]        0.105   0.013     0.081     0.096     0.104     0.113     0.134
mu[14,5]        0.110   0.014     0.085     0.100     0.109     0.118     0.139
mu[15,5]        0.190   0.030     0.140     0.170     0.188     0.207     0.258
mu[16,5]        0.136   0.014     0.110     0.127     0.135     0.144     0.166
mu[1,6]         0.155   0.021     0.119     0.141     0.154     0.168     0.201
mu[2,6]         0.120   0.014     0.095     0.111     0.119     0.128     0.148
mu[3,6]         0.099   0.013     0.076     0.090     0.098     0.106     0.125
mu[4,6]         0.096   0.012     0.074     0.088     0.096     0.104     0.122
mu[5,6]         0.109   0.014     0.083     0.099     0.108     0.118     0.138
mu[6,6]         0.136   0.014     0.111     0.127     0.135     0.144     0.165
mu[7,6]         0.144   0.019     0.109     0.131     0.143     0.155     0.183
mu[8,6]         0.205   0.034     0.148     0.182     0.202     0.224     0.276
mu[9,6]         0.120   0.014     0.096     0.111     0.119     0.128     0.149
mu[10,6]        0.136   0.014     0.109     0.127     0.135     0.144     0.165
mu[11,6]        0.103   0.013     0.079     0.094     0.102     0.110     0.130
mu[12,6]        0.206   0.032     0.153     0.184     0.203     0.224     0.276
mu[13,6]        0.105   0.013     0.081     0.096     0.104     0.113     0.133
mu[14,6]        0.110   0.014     0.085     0.100     0.109     0.118     0.139
mu[15,6]        0.190   0.030     0.140     0.170     0.187     0.206     0.256
mu[16,6]        0.136   0.014     0.110     0.127     0.135     0.144     0.165
mu[1,7]         0.155   0.021     0.119     0.140     0.153     0.167     0.202
mu[2,7]         0.120   0.014     0.096     0.111     0.119     0.128     0.150
mu[3,7]         0.098   0.013     0.076     0.090     0.098     0.106     0.125
mu[4,7]         0.096   0.012     0.075     0.088     0.096     0.104     0.123
mu[5,7]         0.109   0.014     0.085     0.100     0.109     0.118     0.138
mu[6,7]         0.136   0.014     0.111     0.127     0.136     0.145     0.165
mu[7,7]         0.143   0.019     0.109     0.131     0.142     0.155     0.183
mu[8,7]         0.205   0.033     0.148     0.182     0.202     0.223     0.277
mu[9,7]         0.120   0.014     0.096     0.111     0.119     0.128     0.149
mu[10,7]        0.136   0.014     0.110     0.127     0.136     0.145     0.166
mu[11,7]        0.103   0.013     0.079     0.094     0.102     0.111     0.130
mu[12,7]        0.206   0.032     0.154     0.184     0.203     0.225     0.277
mu[13,7]        0.104   0.013     0.080     0.095     0.103     0.112     0.132
mu[14,7]        0.109   0.014     0.085     0.100     0.109     0.118     0.138
mu[15,7]        0.190   0.030     0.140     0.170     0.188     0.207     0.257
mu[16,7]        0.136   0.014     0.110     0.127     0.135     0.144     0.165
