[1] "not converged = 2007"
[1] "total params = 3975"
[1] "which not converged: "
                Rhat
use[16,32]  1.105634
use[3,46]   1.106256
alpha_cov   1.111329
use[9,38]   1.138951
use[9,10]   1.141183
mu[9,20]    1.141491
use[10,37]  1.141555
mu[14,68]   1.141628
mu[13,70]   1.142065
mu[1,34]    1.142781
mu[12,25]   1.142826
mu[2,35]    1.144813
mu[9,7]     1.145652
mu[12,118]  1.145704
mu[12,105]  1.146376
mu[5,109]   1.146545
mu[2,76]    1.146552
mu[14,95]   1.146615
mu[7,49]    1.146751
mu[2,95]    1.146974
mu[13,116]  1.147131
mu[12,23]   1.147139
mu[8,123]   1.147259
mu[14,113]  1.147334
mu[7,68]    1.147511
mu[12,65]   1.147596
mu[1,98]    1.147756
mu[1,119]   1.148027
mu[14,7]    1.148076
mu[8,2]     1.148172
mu[11,77]   1.148173
mu[7,80]    1.148379
mu[1,65]    1.148409
mu[8,99]    1.148565
mu[15,6]    1.148666
mu[4,115]   1.148687
mu[12,29]   1.148714
mu[11,90]   1.148936
mu[9,65]    1.149016
mu[12,121]  1.149022
mu[14,60]   1.149050
mu[15,86]   1.149056
mu[11,97]   1.149086
mu[12,24]   1.149198
mu[15,72]   1.149220
mu[7,118]   1.149280
mu[1,56]    1.149326
mu[14,26]   1.149356
mu[14,59]   1.149373
mu[3,109]   1.149398
mu[5,65]    1.149424
mu[15,84]   1.149524
mu[9,2]     1.149553
mu[15,65]   1.149596
mu[11,59]   1.149605
mu[11,2]    1.149612
mu[8,82]    1.149673
mu[3,89]    1.149736
mu[3,11]    1.149756
mu[9,16]    1.149787
mu[3,91]    1.149801
mu[12,111]  1.149825
mu[4,14]    1.149838
mu[2,39]    1.149873
mu[1,118]   1.150029
mu[14,41]   1.150035
mu[4,52]    1.150066
mu[11,17]   1.150139
mu[7,108]   1.150140
mu[4,4]     1.150215
mu[3,71]    1.150224
mu[7,86]    1.150248
mu[4,95]    1.150365
mu[3,35]    1.150371
mu[14,115]  1.150449
mu[12,89]   1.150592
mu[5,85]    1.150594
mu[1,51]    1.150620
mu[7,57]    1.150636
mu[9,52]    1.150667
mu[8,90]    1.150698
mu[9,38]    1.150705
mu[2,60]    1.150762
mu[7,4]     1.150764
mu[14,67]   1.150845
mu[7,69]    1.150848
mu[12,54]   1.150854
mu[13,18]   1.150897
mu[8,105]   1.150911
mu[5,38]    1.150944
mu[5,7]     1.150987
mu[15,106]  1.151033
mu[13,61]   1.151036
mu[15,52]   1.151039
mu[3,16]    1.151044
mu[5,40]    1.151108
mu[1,55]    1.151117
mu[12,85]   1.151165
mu[7,1]     1.151211
mu[12,92]   1.151263
mu[5,87]    1.151266
mu[9,84]    1.151312
mu[8,38]    1.151335
mu[12,53]   1.151366
mu[15,47]   1.151369
mu[9,14]    1.151384
mu[4,13]    1.151389
mu[7,50]    1.151389
mu[1,89]    1.151425
use[5,44]   1.151445
mu[7,52]    1.151490
mu[7,120]   1.151492
mu[7,11]    1.151507
mu[4,61]    1.151523
mu[1,21]    1.151523
mu[14,47]   1.151571
mu[7,87]    1.151629
mu[2,119]   1.151664
mu[14,40]   1.151666
mu[1,113]   1.151669
mu[8,85]    1.151673
mu[5,46]    1.151742
mu[2,4]     1.151747
mu[8,28]    1.151804
mu[12,15]   1.151836
mu[2,61]    1.151854
mu[13,109]  1.151874
mu[14,64]   1.151877
mu[14,53]   1.151904
mu[11,117]  1.151920
mu[9,25]    1.151933
mu[12,74]   1.151933
mu[4,72]    1.151942
mu[11,7]    1.151947
mu[7,56]    1.151978
mu[5,4]     1.151991
mu[7,37]    1.152041
mu[3,5]     1.152044
mu[11,42]   1.152072
mu[5,100]   1.152082
mu[11,61]   1.152086
mu[9,58]    1.152100
mu[7,41]    1.152165
mu[5,44]    1.152271
mu[13,20]   1.152287
mu[2,121]   1.152302
mu[13,99]   1.152302
mu[2,122]   1.152334
mu[3,41]    1.152346
mu[9,115]   1.152352
mu[13,92]   1.152373
mu[1,54]    1.152420
mu[12,91]   1.152435
mu[1,66]    1.152520
mu[9,74]    1.152623
mu[1,59]    1.152633
mu[12,88]   1.152636
mu[14,65]   1.152636
mu[1,93]    1.152671
mu[12,99]   1.152674
mu[9,97]    1.152676
mu[15,77]   1.152688
mu[9,92]    1.152689
mu[8,119]   1.152703
mu[15,114]  1.152706
mu[4,97]    1.152720
mu[2,106]   1.152722
mu[13,31]   1.152746
mu[14,62]   1.152755
mu[8,1]     1.152758
mu[14,5]    1.152759
mu[2,94]    1.152796
mu[13,27]   1.152847
mu[7,29]    1.152892
mu[7,17]    1.152915
mu[4,29]    1.152940
mu[9,18]    1.152957
mu[8,57]    1.152976
mu[9,15]    1.152979
mu[15,85]   1.152997
mu[11,81]   1.153017
mu[5,73]    1.153023
mu[12,41]   1.153046
mu[4,54]    1.153047
mu[12,96]   1.153048
mu[2,51]    1.153052
mu[4,62]    1.153060
mu[9,56]    1.153104
mu[8,74]    1.153113
mu[9,88]    1.153146
mu[1,35]    1.153153
mu[7,5]     1.153188
mu[13,88]   1.153197
mu[13,15]   1.153214
mu[9,86]    1.153227
mu[7,85]    1.153230
mu[5,34]    1.153277
mu[11,82]   1.153280
mu[15,115]  1.153284
mu[9,90]    1.153289
mu[7,58]    1.153290
mu[9,68]    1.153381
mu[8,11]    1.153394
mu[4,2]     1.153398
mu[1,86]    1.153405
mu[14,6]    1.153417
mu[13,107]  1.153424
mu[9,34]    1.153434
mu[2,104]   1.153440
mu[13,5]    1.153455
mu[12,57]   1.153457
mu[5,55]    1.153510
mu[12,103]  1.153528
mu[7,115]   1.153563
mu[4,27]    1.153573
mu[15,70]   1.153589
mu[5,118]   1.153596
mu[3,49]    1.153685
mu[9,109]   1.153702
mu[13,115]  1.153730
mu[3,55]    1.153770
mu[15,20]   1.153796
mu[2,19]    1.153863
mu[7,12]    1.153880
mu[8,33]    1.153882
mu[12,75]   1.153904
mu[1,47]    1.153915
mu[13,40]   1.153927
mu[5,2]     1.153938
mu[5,93]    1.153999
mu[2,64]    1.154042
mu[7,77]    1.154046
mu[9,42]    1.154048
mu[14,80]   1.154081
mu[12,27]   1.154098
mu[5,115]   1.154154
mu[2,48]    1.154168
mu[1,48]    1.154171
mu[4,56]    1.154182
mu[12,94]   1.154246
mu[14,11]   1.154247
mu[1,26]    1.154262
mu[7,53]    1.154288
mu[2,10]    1.154303
mu[12,117]  1.154319
mu[2,86]    1.154326
mu[5,119]   1.154328
mu[9,41]    1.154355
mu[15,66]   1.154375
mu[4,3]     1.154436
mu[4,76]    1.154437
mu[3,116]   1.154469
mu[9,1]     1.154484
mu[12,62]   1.154491
mu[9,67]    1.154493
mu[15,23]   1.154498
mu[4,89]    1.154516
mu[2,110]   1.154533
mu[15,43]   1.154536
mu[11,44]   1.154547
mu[4,118]   1.154555
mu[3,66]    1.154566
mu[14,124]  1.154567
mu[5,80]    1.154571
mu[8,64]    1.154586
mu[3,111]   1.154590
mu[13,3]    1.154624
mu[7,39]    1.154663
mu[8,65]    1.154676
mu[15,49]   1.154690
mu[8,117]   1.154741
mu[13,51]   1.154742
mu[3,84]    1.154770
mu[15,88]   1.154777
mu[4,28]    1.154785
mu[5,97]    1.154787
mu[7,102]   1.154800
mu[15,48]   1.154812
mu[5,78]    1.154822
mu[5,15]    1.154826
mu[9,91]    1.154828
mu[4,80]    1.154844
mu[15,95]   1.154851
mu[13,49]   1.154853
mu[11,116]  1.154859
mu[7,42]    1.154894
mu[11,60]   1.154903
mu[13,113]  1.154905
mu[13,71]   1.154906
mu[8,49]    1.154954
mu[7,95]    1.154962
mu[9,33]    1.155011
mu[9,107]   1.155027
mu[4,51]    1.155056
mu[5,86]    1.155062
mu[3,81]    1.155076
mu[8,63]    1.155081
mu[2,32]    1.155097
mu[15,44]   1.155140
mu[7,63]    1.155169
mu[5,63]    1.155193
mu[12,113]  1.155196
mu[8,23]    1.155221
mu[11,49]   1.155255
mu[3,118]   1.155270
mu[9,93]    1.155287
mu[2,30]    1.155296
mu[8,96]    1.155306
mu[14,2]    1.155326
mu[15,102]  1.155340
mu[9,11]    1.155350
mu[13,123]  1.155371
mu[3,79]    1.155375
mu[7,94]    1.155379
mu[9,13]    1.155388
mu[15,17]   1.155388
mu[1,85]    1.155397
mu[15,74]   1.155398
mu[13,19]   1.155419
mu[3,68]    1.155428
mu[2,9]     1.155450
mu[13,62]   1.155454
mu[13,44]   1.155467
mu[2,16]    1.155479
mu[11,18]   1.155499
mu[2,6]     1.155501
mu[1,104]   1.155503
mu[8,109]   1.155503
mu[12,112]  1.155522
mu[12,73]   1.155549
mu[9,40]    1.155567
mu[8,110]   1.155587
mu[1,96]    1.155617
mu[12,20]   1.155642
mu[15,99]   1.155653
mu[4,122]   1.155665
mu[9,64]    1.155686
mu[13,6]    1.155694
mu[9,53]    1.155702
mu[4,59]    1.155737
mu[11,30]   1.155820
mu[2,71]    1.155825
mu[5,114]   1.155840
mu[7,40]    1.155848
mu[7,70]    1.155851
mu[8,108]   1.155859
mu[14,119]  1.155869
mu[12,45]   1.155880
mu[9,120]   1.155889
mu[12,19]   1.155890
mu[7,74]    1.155923
mu[15,75]   1.155945
mu[8,37]    1.155948
mu[7,119]   1.155950
mu[2,46]    1.155961
mu[8,31]    1.155962
mu[3,19]    1.155970
mu[2,33]    1.155978
mu[8,62]    1.155988
mu[5,39]    1.156005
mu[1,62]    1.156005
mu[15,94]   1.156016
mu[1,19]    1.156070
mu[14,9]    1.156099
mu[15,109]  1.156099
mu[9,112]   1.156106
mu[2,91]    1.156123
mu[9,82]    1.156163
mu[7,99]    1.156167
mu[12,100]  1.156191
mu[2,18]    1.156196
mu[15,33]   1.156215
mu[4,99]    1.156246
mu[1,61]    1.156255
mu[11,70]   1.156263
mu[14,84]   1.156358
mu[14,1]    1.156374
mu[2,108]   1.156385
mu[4,48]    1.156462
mu[7,27]    1.156470
mu[14,90]   1.156482
mu[5,106]   1.156491
mu[11,91]   1.156505
mu[3,122]   1.156527
mu[1,29]    1.156568
mu[8,56]    1.156638
mu[1,102]   1.156643
mu[1,30]    1.156659
mu[11,52]   1.156667
mu[3,110]   1.156667
mu[8,14]    1.156682
mu[8,92]    1.156685
mu[5,69]    1.156708
mu[15,3]    1.156710
mu[4,17]    1.156723
mu[3,25]    1.156735
mu[1,124]   1.156777
mu[15,12]   1.156779
mu[3,10]    1.156797
mu[15,118]  1.156855
mu[8,112]   1.156871
mu[11,16]   1.156882
mu[2,50]    1.156917
mu[9,77]    1.156942
mu[12,106]  1.156983
mu[8,22]    1.156989
mu[2,99]    1.156999
mu[1,16]    1.157011
mu[2,1]     1.157015
mu[13,72]   1.157033
mu[5,91]    1.157061
mu[4,82]    1.157085
mu[4,6]     1.157105
mu[2,105]   1.157111
mu[14,54]   1.157116
mu[3,108]   1.157152
mu[15,97]   1.157157
mu[15,71]   1.157158
mu[2,14]    1.157186
mu[15,83]   1.157195
mu[11,10]   1.157201
mu[1,100]   1.157209
mu[8,124]   1.157212
mu[12,70]   1.157216
mu[4,71]    1.157222
mu[4,64]    1.157236
mu[13,76]   1.157242
mu[5,99]    1.157256
mu[5,103]   1.157258
mu[8,84]    1.157269
mu[13,103]  1.157309
mu[7,67]    1.157316
mu[13,58]   1.157321
mu[13,43]   1.157340
mu[15,24]   1.157342
mu[7,110]   1.157366
mu[12,122]  1.157374
mu[13,93]   1.157374
mu[8,101]   1.157413
mu[13,17]   1.157426
mu[2,21]    1.157449
mu[15,112]  1.157450
mu[14,52]   1.157451
mu[3,117]   1.157478
mu[7,65]    1.157480
mu[9,85]    1.157483
mu[8,6]     1.157528
mu[1,109]   1.157544
mu[4,120]   1.157545
mu[13,11]   1.157547
mu[12,49]   1.157555
mu[9,51]    1.157568
mu[2,11]    1.157571
mu[2,27]    1.157592
mu[3,48]    1.157596
mu[15,113]  1.157610
mu[5,10]    1.157613
mu[15,81]   1.157628
mu[3,67]    1.157629
mu[12,8]    1.157630
mu[1,97]    1.157631
mu[8,15]    1.157631
mu[2,112]   1.157637
mu[8,87]    1.157648
mu[15,36]   1.157656
mu[11,64]   1.157684
mu[3,85]    1.157690
mu[7,111]   1.157692
mu[12,84]   1.157712
mu[15,78]   1.157725
mu[7,14]    1.157728
mu[4,16]    1.157741
mu[13,30]   1.157772
mu[9,45]    1.157792
mu[1,63]    1.157802
mu[3,56]    1.157804
mu[12,37]   1.157839
mu[4,68]    1.157850
mu[14,39]   1.157861
mu[5,122]   1.157867
mu[13,90]   1.157872
mu[13,101]  1.157875
mu[1,57]    1.157877
mu[14,17]   1.157878
mu[4,7]     1.157932
mu[12,90]   1.157949
mu[7,9]     1.157976
mu[9,114]   1.157997
mu[9,54]    1.158000
mu[15,64]   1.158012
mu[13,35]   1.158025
mu[11,63]   1.158033
mu[15,50]   1.158051
mu[7,112]   1.158057
mu[13,34]   1.158059
mu[7,26]    1.158072
mu[2,114]   1.158074
mu[12,72]   1.158075
mu[8,44]    1.158080
mu[13,121]  1.158094
mu[13,38]   1.158097
mu[8,72]    1.158118
mu[11,8]    1.158120
mu[14,33]   1.158133
mu[11,6]    1.158145
