[1] "not converged = 15"
[1] "total params = 3974"
[1] "which not converged: "
                Rhat
use[2,38]   1.122936
use[5,24]   1.125387
use[10,37]  1.125505
use[5,120]  1.138111
use[11,114] 1.140874
use[2,27]   1.145622
use[10,71]  1.205911
use[10,12]  1.213470
use[16,107] 1.218517
use[5,14]   1.223144
use[3,46]   1.268999
use[5,62]   1.277112
use[16,68]  1.436157
use[10,36]  1.470663
use[10,27]  1.491835
Inference for Bugs model at "~/bipartitemodelsBC/finalmodels/jagsNB/betaT/M1b.txt", fit using jags,
 3 chains, each with 105000 iterations (first 5000 discarded), n.thin = 100
 n.sims = 3000 iterations saved
              mu.vect sd.vect      2.5%       25%       50%       75%     97.5%
mn[1]          -1.545   0.082    -1.701    -1.601    -1.546    -1.492    -1.382
mn[2]           2.577   0.250     2.094     2.405     2.575     2.748     3.065
mu[1,1]         0.194   0.056     0.105     0.154     0.188     0.227     0.322
mu[2,1]         0.174   0.048     0.093     0.139     0.170     0.204     0.279
mu[3,1]         0.164   0.043     0.093     0.133     0.160     0.190     0.259
mu[4,1]         0.158   0.040     0.090     0.130     0.154     0.182     0.246
mu[5,1]         0.170   0.046     0.096     0.137     0.165     0.198     0.273
mu[6,1]         0.165   0.044     0.093     0.133     0.162     0.191     0.261
mu[7,1]         0.203   0.058     0.111     0.160     0.196     0.238     0.332
mu[8,1]         0.223   0.063     0.122     0.178     0.215     0.259     0.368
mu[9,1]         0.201   0.057     0.110     0.160     0.193     0.233     0.336
mu[10,1]        0.163   0.043     0.092     0.132     0.159     0.190     0.259
mu[11,1]        0.159   0.041     0.089     0.129     0.155     0.183     0.249
mu[12,1]        0.202   0.058     0.110     0.160     0.195     0.235     0.331
mu[13,1]        0.164   0.042     0.095     0.134     0.159     0.190     0.257
mu[14,1]        0.176   0.045     0.101     0.144     0.171     0.203     0.276
mu[15,1]        0.196   0.056     0.106     0.157     0.189     0.230     0.326
mu[16,1]        0.170   0.045     0.095     0.137     0.164     0.197     0.271
mu[1,2]         0.194   0.056     0.105     0.154     0.188     0.227     0.322
mu[2,2]         0.174   0.048     0.093     0.139     0.170     0.204     0.279
mu[3,2]         0.164   0.043     0.093     0.133     0.160     0.190     0.259
mu[4,2]         0.158   0.040     0.090     0.130     0.154     0.182     0.246
mu[5,2]         0.170   0.046     0.096     0.137     0.165     0.198     0.273
mu[6,2]         0.165   0.044     0.093     0.133     0.162     0.191     0.261
mu[7,2]         0.203   0.058     0.111     0.160     0.196     0.238     0.332
mu[8,2]         0.223   0.063     0.122     0.178     0.215     0.259     0.368
mu[9,2]         0.201   0.057     0.110     0.160     0.193     0.233     0.336
