[1] "not converged = 13"
[1] "total params = 3976"
[1] "which not converged: "
                Rhat
use[3,21]   1.101634
use[2,14]   1.107723
use[16,45]  1.110893
use[5,110]  1.119017
use[2,121]  1.125156
use[16,20]  1.125161
use[10,50]  1.129899
use[10,63]  1.130390
use[3,107]  1.131513
use[6,3]    1.210741
sd[1]       1.317124
mn[3]       7.818088
mn[1]      11.873514
Inference for Bugs model at "~/bipartitemodelsBC/finalmodels/jagsNB/betaT/m1g.txt", fit using jags,
 3 chains, each with 55000 iterations (first 5000 discarded), n.thin = 50
 n.sims = 3000 iterations saved
              mu.vect sd.vect      2.5%       25%       50%       75%     97.5%
mn[1]          -2.640   0.898    -4.115    -3.636    -2.321    -1.767    -1.641
mn[2]           2.601   0.250     2.108     2.436     2.606     2.763     3.087
mn[3]           1.111   0.917    -0.049     0.330     0.795     2.134     2.676
mu[1,1]         0.223   0.028     0.173     0.202     0.221     0.241     0.283
mu[2,1]         0.164   0.015     0.137     0.154     0.163     0.174     0.195
mu[3,1]         0.126   0.013     0.102     0.117     0.126     0.135     0.154
mu[4,1]         0.121   0.013     0.097     0.111     0.120     0.129     0.147
mu[5,1]         0.142   0.015     0.115     0.132     0.141     0.151     0.173
mu[6,1]         0.180   0.014     0.154     0.170     0.179     0.189     0.208
mu[7,1]         0.206   0.024     0.163     0.190     0.204     0.221     0.256
mu[8,1]         0.296   0.047     0.220     0.262     0.291     0.324     0.400
mu[9,1]         0.164   0.014     0.137     0.154     0.164     0.174     0.194
mu[10,1]        0.180   0.014     0.154     0.170     0.179     0.189     0.208
mu[11,1]        0.130   0.013     0.105     0.122     0.130     0.139     0.158
mu[12,1]        0.299   0.046     0.221     0.268     0.295     0.326     0.403
mu[13,1]        0.132   0.014     0.107     0.123     0.132     0.141     0.160
mu[14,1]        0.139   0.014     0.113     0.130     0.139     0.149     0.169
mu[15,1]        0.278   0.040     0.209     0.250     0.275     0.302     0.363
mu[16,1]        0.180   0.014     0.153     0.170     0.179     0.189     0.209
mu[1,2]         0.223   0.028     0.173     0.203     0.221     0.241     0.282
mu[2,2]         0.164   0.015     0.137     0.154     0.164     0.174     0.193
mu[3,2]         0.126   0.013     0.101     0.117     0.126     0.135     0.155
mu[4,2]         0.121   0.013     0.096     0.112     0.120     0.129     0.148
mu[5,2]         0.142   0.015     0.114     0.132     0.141     0.151     0.172
mu[6,2]         0.180   0.014     0.154     0.171     0.179     0.189     0.209
mu[7,2]         0.206   0.024     0.163     0.189     0.205     0.221     0.257
mu[8,2]         0.296   0.046     0.219     0.263     0.291     0.324     0.401
mu[9,2]         0.164   0.015     0.138     0.154     0.164     0.174     0.195
mu[10,2]        0.180   0.014     0.154     0.170     0.180     0.189     0.209
mu[11,2]        0.130   0.013     0.106     0.121     0.130     0.139     0.159
mu[12,2]        0.299   0.045     0.222     0.268     0.296     0.327     0.403
mu[13,2]        0.133   0.014     0.107     0.123     0.132     0.141     0.161
mu[14,2]        0.139   0.014     0.113     0.129     0.139     0.148     0.169
mu[15,2]        0.278   0.040     0.209     0.249     0.275     0.302     0.362
mu[16,2]        0.180   0.014     0.154     0.170     0.179     0.189     0.208
mu[1,3]         0.223   0.028     0.173     0.204     0.221     0.239     0.281
mu[2,3]         0.164   0.014     0.137     0.154     0.164     0.174     0.194
mu[3,3]         0.126   0.013     0.101     0.117     0.126     0.135     0.153
mu[4,3]         0.121   0.013     0.097     0.112     0.120     0.129     0.148
mu[5,3]         0.142   0.015     0.115     0.131     0.141     0.151     0.172
mu[6,3]         0.180   0.014     0.154     0.170     0.179     0.188     0.209
mu[7,3]         0.206   0.024     0.162     0.190     0.205     0.221     0.257
mu[8,3]         0.296   0.046     0.219     0.262     0.291     0.323     0.401
mu[9,3]         0.164   0.015     0.138     0.154     0.164     0.174     0.194
mu[10,3]        0.180   0.014     0.153     0.170     0.179     0.189     0.208
mu[11,3]        0.130   0.013     0.106     0.122     0.130     0.139     0.159
mu[12,3]        0.299   0.045     0.223     0.268     0.295     0.327     0.400
mu[13,3]        0.132   0.014     0.107     0.123     0.132     0.141     0.161
mu[14,3]        0.139   0.014     0.113     0.130     0.139     0.148     0.169
mu[15,3]        0.278   0.040     0.210     0.249     0.275     0.302     0.364
mu[16,3]        0.180   0.014     0.154     0.170     0.179     0.189     0.209
mu[1,4]         0.223   0.028     0.175     0.203     0.221     0.241     0.281
mu[2,4]         0.164   0.015     0.137     0.154     0.164     0.173     0.195
mu[3,4]         0.126   0.013     0.102     0.117     0.126     0.135     0.154
mu[4,4]         0.121   0.013     0.097     0.112     0.120     0.129     0.147
mu[5,4]         0.142   0.015     0.115     0.132     0.141     0.151     0.173
mu[6,4]         0.180   0.014     0.154     0.170     0.179     0.189     0.209
mu[7,4]         0.206   0.024     0.163     0.189     0.204     0.221     0.257
mu[8,4]         0.296   0.047     0.218     0.263     0.291     0.324     0.399
mu[9,4]         0.164   0.015     0.138     0.154     0.164     0.174     0.195
mu[10,4]        0.180   0.014     0.154     0.171     0.179     0.189     0.208
mu[11,4]        0.131   0.014     0.106     0.121     0.130     0.139     0.159
mu[12,4]        0.300   0.045     0.223     0.268     0.296     0.326     0.403
mu[13,4]        0.133   0.014     0.107     0.123     0.132     0.141     0.161
mu[14,4]        0.139   0.014     0.113     0.129     0.139     0.148     0.169
mu[15,4]        0.278   0.040     0.208     0.250     0.275     0.302     0.364
mu[16,4]        0.180   0.014     0.154     0.170     0.179     0.189     0.208
mu[1,5]         0.223   0.028     0.174     0.204     0.220     0.240     0.283
mu[2,5]         0.164   0.015     0.137     0.154     0.163     0.174     0.194
mu[3,5]         0.126   0.013     0.102     0.117     0.126     0.135     0.154
mu[4,5]         0.120   0.013     0.096     0.111     0.120     0.129     0.147
mu[5,5]         0.142   0.015     0.115     0.132     0.141     0.151     0.172
mu[6,5]         0.180   0.014     0.154     0.170     0.179     0.189     0.209
mu[7,5]         0.206   0.024     0.162     0.189     0.204     0.221     0.257
mu[8,5]         0.296   0.047     0.218     0.263     0.291     0.324     0.400
mu[9,5]         0.164   0.015     0.137     0.154     0.164     0.174     0.194
mu[10,5]        0.180   0.014     0.154     0.170     0.179     0.188     0.209
mu[11,5]        0.130   0.014     0.106     0.121     0.130     0.139     0.158
mu[12,5]        0.299   0.045     0.222     0.267     0.295     0.326     0.402
mu[13,5]        0.133   0.014     0.107     0.124     0.132     0.142     0.160
mu[14,5]        0.139   0.015     0.113     0.129     0.139     0.148     0.170
mu[15,5]        0.278   0.040     0.209     0.250     0.275     0.302     0.364
mu[16,5]        0.180   0.014     0.154     0.170     0.179     0.189     0.208
mu[1,6]         0.223   0.028     0.173     0.203     0.220     0.240     0.282
mu[2,6]         0.164   0.015     0.137     0.154     0.164     0.174     0.194
mu[3,6]         0.126   0.013     0.102     0.117     0.126     0.135     0.153
mu[4,6]         0.121   0.013     0.097     0.112     0.120     0.129     0.147
mu[5,6]         0.142   0.015     0.114     0.132     0.141     0.151     0.174
mu[6,6]         0.180   0.014     0.154     0.170     0.179     0.188     0.209
mu[7,6]         0.206   0.024     0.163     0.189     0.204     0.221     0.257
mu[8,6]         0.296   0.047     0.219     0.263     0.291     0.324     0.399
mu[9,6]         0.164   0.015     0.137     0.154     0.164     0.174     0.194
mu[10,6]        0.180   0.014     0.154     0.170     0.179     0.188     0.209
