[1] "not converged = 2012"
[1] "total params = 3974"
[1] "which not converged: "
                Rhat
use[1,114]  1.106126
use[6,103]  1.109874
use[7,3]    1.110271
sd[1]       1.110776
use[2,55]   1.112511
use[6,15]   1.113145
use[5,25]   1.116587
use[10,106] 1.131887
use[6,110]  1.133970
use[7,39]   1.137311
use[12,91]  1.138185
use[6,111]  1.140056
use[3,98]   1.148147
use[2,79]   1.150821
use[9,72]   1.171551
use[5,20]   1.194884
use[5,64]   1.220080
use[10,111] 1.222817
use[10,63]  1.230621
use[3,39]   1.230811
use[5,66]   1.246732
mu[13,72]   1.261442
mu[11,11]   1.266682
mu[15,39]   1.273229
mu[13,15]   1.275515
mu[16,43]   1.276385
mu[13,70]   1.277588
mu[2,91]    1.278232
mu[14,109]  1.279088
mu[13,106]  1.279992
mu[4,115]   1.282017
mu[10,32]   1.282067
mu[4,14]    1.282311
mu[13,6]    1.282385
mu[3,108]   1.282897
mu[13,9]    1.283895
mu[1,58]    1.283909
mu[10,86]   1.283967
mu[9,118]   1.284653
mu[16,50]   1.284699
mu[14,68]   1.284974
mu[6,55]    1.285812
mu[14,113]  1.285884
mu[9,55]    1.286234
mu[6,26]    1.286413
mu[6,30]    1.286480
mu[12,57]   1.286569
mu[11,63]   1.286662
mu[5,61]    1.287464
use[2,70]   1.287465
mu[13,58]   1.288503
mu[16,41]   1.289773
mu[1,16]    1.290071
mu[1,51]    1.290174
mu[12,43]   1.290325
mu[16,29]   1.290485
mu[8,62]    1.290493
mu[6,81]    1.290818
mu[4,91]    1.290935
mu[15,63]   1.291174
mu[15,121]  1.291359
mu[13,112]  1.291448
mu[12,24]   1.291519
mu[15,110]  1.291697
mu[8,4]     1.291718
mu[14,62]   1.291723
mu[16,36]   1.291734
mu[9,61]    1.291943
mu[9,71]    1.292063
mu[16,28]   1.292180
mu[6,96]    1.292194
mu[12,62]   1.292456
mu[6,28]    1.292692
mu[15,80]   1.292701
mu[6,50]    1.292742
mu[1,61]    1.292792
mu[4,60]    1.293023
mu[7,113]   1.293190
mu[2,61]    1.293592
mu[13,93]   1.293594
mu[7,62]    1.293616
mu[1,54]    1.293859
mu[1,30]    1.293890
mu[1,120]   1.294095
mu[16,38]   1.294293
mu[12,117]  1.294819
mu[14,16]   1.294962
mu[10,73]   1.295166
mu[6,88]    1.295435
mu[1,79]    1.295476
