[1] "not converged = 2204"
[1] "total params = 21733"
[1] "which not converged: "
                     Rhat
parasites[38,33] 1.100058
parasites[33,38] 1.100058
use[2,18]        1.105147
use[11,7]        1.105159
use[14,17]       1.105159
use[13,18]       1.105159
use[13,21]       1.105159
use[14,22]       1.105159
use[10,23]       1.105159
use[11,23]       1.105159
use[14,23]       1.105159
use[13,24]       1.105159
use[13,25]       1.105159
use[11,27]       1.105159
use[11,28]       1.105159
use[14,33]       1.105159
use[13,36]       1.105159
use[14,36]       1.105159
use[14,39]       1.105159
use[13,42]       1.105159
use[11,43]       1.105159
use[13,47]       1.105159
use[13,57]       1.105159
use[14,60]       1.105159
use[14,61]       1.105159
use[14,66]       1.105159
use[13,68]       1.105159
use[3,72]        1.105159
use[11,78]       1.105159
use[13,78]       1.105159
use[3,84]        1.105159
use[13,90]       1.105159
use[11,98]       1.105159
use[11,102]      1.105159
use[13,102]      1.105159
use[14,103]      1.105159
use[10,106]      1.105159
use[11,112]      1.105159
use[13,121]      1.105159
use[11,1]        1.105330
use[14,7]        1.105330
use[3,21]        1.105330
use[4,23]        1.105330
use[13,41]       1.105330
use[13,46]       1.105330
use[13,85]       1.105330
use[2,106]       1.105330
use[14,123]      1.105330
use[14,8]        1.105502
use[11,21]       1.105502
use[14,25]       1.105502
use[14,41]       1.105502
use[11,49]       1.105502
use[3,74]        1.105502
use[13,88]       1.105502
use[3,103]       1.105502
use[13,96]       1.105621
use[3,111]       1.105621
use[16,121]      1.105847
use[2,43]        1.108178
use[10,60]       1.108178
use[11,86]       1.108178
parasites[94,26] 1.108178
parasites[26,94] 1.108178
use[4,47]        1.109096
use[11,70]       1.109096
use[5,23]        1.109253
use[16,58]       1.109253
use[6,16]        1.109451
parasites[94,28] 1.111065
parasites[28,94] 1.111065
use[3,12]        1.111065
use[16,12]       1.111065
use[13,81]       1.111065
use[14,89]       1.113686
use[14,15]       1.116024
use[10,27]       1.116024
use[14,37]       1.116024
use[16,63]       1.116024
use[13,76]       1.116024
use[11,79]       1.116024
use[14,83]       1.116024
use[16,84]       1.116024
use[11,111]      1.116024
use[16,76]       1.120551
use[14,85]       1.122167
use[13,95]       1.122167
use[3,102]       1.122167
use[2,60]        1.126607
use[11,2]        1.127008
parasites[30,24] 1.130152
parasites[24,30] 1.130152
alpha[8,71]      1.131440
use[16,19]       1.132118
alpha[12,69]     1.133097
use[13,8]        1.133723
use[11,19]       1.133723
use[3,29]        1.133723
use[11,32]       1.133723
use[14,32]       1.133723
use[3,39]        1.133723
use[11,42]       1.133723
use[5,44]        1.133723
use[11,47]       1.133723
use[11,50]       1.133723
use[14,50]       1.133723
use[13,55]       1.133723
use[11,56]       1.133723
use[14,56]       1.133723
use[3,57]        1.133723
use[5,57]        1.133723
use[3,60]        1.133723
use[3,62]        1.133723
use[3,63]        1.133723
use[11,69]       1.133723
use[11,82]       1.133723
use[10,94]       1.133723
use[14,102]      1.133723
use[14,112]      1.133723
use[14,120]      1.133723
use[13,123]      1.133723
alpha[8,75]      1.133959
use[16,8]        1.134123
use[3,22]        1.134123
use[2,47]        1.134123
use[11,55]       1.134123
use[14,76]       1.134123
use[5,79]        1.134123
use[3,107]       1.134123
use[3,112]       1.134123
use[13,122]      1.134123
use[16,1]        1.134525
alpha[15,91]     1.135230
use[5,41]        1.135336
alpha[8,92]      1.136926
alpha[12,112]    1.137354
alpha[12,45]     1.137848
alpha[15,4]      1.138021
alpha[8,118]     1.138153
alpha[12,119]    1.138403
alpha[12,70]     1.140108
alpha[12,85]     1.140228
alpha[8,70]      1.140624
alpha[12,101]    1.140784
alpha[15,53]     1.141028
alpha[15,65]     1.141218
alpha[8,4]       1.141240
alpha[12,97]     1.141270
alpha[15,116]    1.141651
alpha[12,56]     1.141767
use[10,28]       1.142107
alpha[8,116]     1.142413
alpha[12,76]     1.143222
alpha[8,113]     1.143297
alpha[8,61]      1.143367
alpha[8,40]      1.143950
alpha[15,95]     1.144000
alpha[8,63]      1.144266
alpha[12,51]     1.144442
alpha[12,96]     1.144524
alpha[12,104]    1.144545
alpha[12,61]     1.144635
alpha[8,93]      1.146268
alpha[15,76]     1.146332
alpha[8,109]     1.146485
use[11,80]       1.146501
alpha[8,7]       1.146671
alpha[12,12]     1.146753
alpha[15,102]    1.146894
alpha[12,41]     1.147164
alpha[15,13]     1.147185
alpha[8,100]     1.147332
alpha[8,38]      1.147663
alpha[12,87]     1.147742
alpha[12,4]      1.147963
alpha[9,87]      1.147965
alpha[15,105]    1.148789
alpha[1,6]       1.148858
alpha[8,83]      1.149018
alpha[12,6]      1.149048
alpha[1,52]      1.149255
alpha[8,35]      1.149321
alpha[8,34]      1.149511
alpha[12,124]    1.149670
alpha[12,75]     1.150098
alpha[8,95]      1.150185
alpha[8,1]       1.150246
alpha[15,52]     1.150266
alpha[12,116]    1.150341
alpha[12,64]     1.150501
alpha[12,110]    1.150507
alpha[12,88]     1.150566
alpha[15,23]     1.150739
alpha[15,61]     1.150881
alpha[8,48]      1.150947
alpha[8,58]      1.150951
alpha[12,46]     1.151244
alpha[12,115]    1.151255
use[13,12]       1.151568
alpha[8,66]      1.151591
alpha[12,108]    1.151856
alpha[8,104]     1.151857
alpha[8,15]      1.152195
alpha[1,91]      1.152287
alpha[12,53]     1.152325
alpha[15,74]     1.152372
alpha[8,51]      1.152377
alpha[8,77]      1.152499
alpha[8,2]       1.152818
alpha[12,30]     1.152901
alpha[12,117]    1.152948
alpha[15,64]     1.152984
alpha[12,93]     1.153032
alpha[12,1]      1.153264
alpha[12,28]     1.153326
alpha[8,122]     1.153408
alpha[12,3]      1.154136
alpha[12,5]      1.154197
alpha[8,56]      1.154204
alpha[8,12]      1.154383
alpha[15,75]     1.154404
alpha[12,60]     1.154500
alpha[12,77]     1.154690
alpha[12,52]     1.154742
alpha[12,54]     1.154911
alpha[12,118]    1.155014
use[10,14]       1.155020
alpha[8,41]      1.155023
alpha[12,40]     1.155070
alpha[15,110]    1.155120
alpha[12,59]     1.155479
alpha[12,91]     1.155631
alpha[15,118]    1.155856
alpha[15,70]     1.155919
alpha[12,11]     1.155959
alpha[15,92]     1.155974
alpha[8,67]      1.156108
alpha[8,19]      1.156167
alpha[8,80]      1.156359
alpha[8,24]      1.156396
alpha[12,34]     1.156425
alpha[15,33]     1.156454
alpha[12,95]     1.156478
alpha[9,77]      1.156492
alpha[15,2]      1.156525
alpha[12,81]     1.156819
alpha[8,36]      1.156873
alpha[8,14]      1.156892
alpha[12,58]     1.156970
alpha[12,107]    1.157049
alpha[8,110]     1.157132
alpha[8,27]      1.157165
alpha[8,105]     1.157353
alpha[15,51]     1.157381
alpha[12,123]    1.157639
alpha[12,9]      1.157713
alpha[8,121]     1.157918
alpha[12,16]     1.157994
alpha[12,21]     1.158017
alpha[15,115]    1.158028
alpha[8,53]      1.158062
alpha[8,123]     1.158133
